"id";"upid";"ord";"name"
"5";"0";"1";"Центральный федеральный округ"
"501";"5";"2";"Белгородская область"
"502";"5";"3";"Брянская область"
"503";"5";"4";"Владимирская область"
"504";"5";"5";"Воронежская область"
"506";"5";"6";"Ивановская область"
"507";"5";"7";"Калужская область"
"508";"5";"8";"Костромская область"
"509";"5";"9";"Курская область"
"510";"5";"10";"Липецкая область"
"511";"5";"11";"Московская область"
"512";"5";"12";"Орловская область"
"513";"5";"13";"Рязанская область"
"514";"5";"14";"Смоленская область"
"515";"5";"15";"Тамбовская область"
"516";"5";"16";"Тверская область"
"517";"5";"17";"Тульская область"
"518";"5";"18";"Ярославская область"
"505";"5";"19";"г. Москва"
"3";"0";"20";"Северо-Западный федеральный округ"
"310";"3";"21";"Республика Карелия"
"311";"3";"22";"Республика Коми"
"307";"3";"23";"Ненецкий авт.округ"
"301";"3";"24";"Архангельская область"
"302";"3";"25";"Вологодская область"
"304";"3";"26";"Калининградская область"
"305";"3";"27";"Ленинградская область"
"306";"3";"28";"Мурманская область"
"308";"3";"29";"Новгородская область"
"309";"3";"30";"Псковская область"
"303";"3";"31";"г. Санкт-Петербург"
"4";"0";"32";"Южный федеральный округ"
"405";"4";"33";"Республика Адыгея"
"406";"4";"34";"Республика Калмыкия"
"404";"4";"35";"Республика Крым"
"403";"4";"36";"Краснодарский край"
"401";"4";"37";"Астраханская область"
"402";"4";"38";"Волгоградская область"
"407";"4";"39";"Ростовская область"
"408";"4";"40";"г. Севастополь"
"6";"0";"41";"Северо-Кавказский федеральный округ"
"603";"6";"42";"Республика Дагестан"
"604";"6";"43";"Республика Ингушетия"
"601";"6";"44";"Кабардино-Балкарская Республика"
"602";"6";"45";"Карачаево-Черкесская Республика"
"605";"6";"46";"Республика Северная Осетия-Алания"
"607";"6";"47";"Чеченская Республика"
"606";"6";"48";"Ставропольский край"
"7";"0";"49";"Приволжский федеральный округ"
"706";"7";"50";"Республика Башкортостан"
"707";"7";"51";"Республика Марий Эл"
"708";"7";"52";"Республика Мордовия"
"709";"7";"53";"Республика Татарстан"
"712";"7";"54";"Удмуртская Республика"
"714";"7";"55";"Чувашская Республика"
"705";"7";"56";"Пермский край"
"701";"7";"57";"Кировская область"
"702";"7";"58";"Нижегородская область"
"703";"7";"59";"Оренбургская область"
"704";"7";"60";"Пензенская область"
"710";"7";"61";"Самарская область"
"711";"7";"62";"Саратовская область"
"713";"7";"63";"Ульяновская область"
"9";"0";"64";"Уральский федеральный округ"
"901";"9";"65";"Курганская область"
"902";"9";"66";"Свердловская область"
"904";"9";"67";"Ханты-Мансийский автономный округ - Югра"
"906";"9";"68";"Ямало-Ненецкий автономный округ"
"903";"9";"69";"Тюменская область"
"905";"9";"70";"Челябинская область"
"1";"0";"71";"Сибирский федеральный округ"
"108";"1";"72";"Республика Алтай"
"110";"1";"73";"Республика Тыва"
"111";"1";"74";"Республика Хакасия"
"101";"1";"75";"Алтайский край"
"105";"1";"76";"Красноярский край"
"103";"1";"77";"Иркутская область"
"104";"1";"78";"Кемеровская область"
"106";"1";"79";"Новосибирская область"
"107";"1";"80";"Омская область"
"112";"1";"81";"Томская область"
"2";"0";"82";"Дальневосточный федеральный округ"
"109";"2";"83";"Республика Бурятия"
"102";"2";"84";"Забайкальский край"
"206";"2";"85";"Республика Саха (Якутия)"
"203";"2";"86";"Камчатский край"
"205";"2";"87";"Приморский край"
"208";"2";"88";"Хабаровский край"
"201";"2";"89";"Амурская область"
"204";"2";"90";"Магаданская область"
"207";"2";"91";"Сахалинская область"
"202";"2";"92";"Еврейская АО"
"209";"2";"93";"Чукотский АО"
