,Округ,Регион,Год,Комфортность климата,Площадь территории по субъектам Российской Федерации; кв. км.,Плотность населения; чел./км2,"Среднедушевые денежные доходы населения; в месяц, руб.",Ожидаемая продолжительность жизни при рождении; лет,Торговый баланс (соотношение экспорт - импорт),Численность населения региона; на конец года; тыс. чел.,"Население моложе трудоспособного возраста, %","Население в трудоспособном возрасте, %","Численность трудоспособного населения и населения моложе трудоспособного возраста, %",Валовой региональный продукт; млн руб.,Индекс физического объема валового регионального продукта; %,"Доходы консолидированных бюджетов субъектов РФ, млн. руб.",Расходы консолидированных бюджетов субъектов РФ; млн. руб.,Реальные доходы населения,Индексы потребительских цен,Темп роста индексы потребительских цен,Экспорт - дальнее зарубежье; млн долл. США,Экспорт - страны СНГ; млн долл. США,Импорт - страны СНГ; млн долл. США,Импорт - дальнее зарубежье; млн долл. США,Экспорт - интегральный показатель; млн долл. США,Импорт - интегральный показатель; млн долл. США,"Среднегодовой курс доллара США (по данным ЦБ РФ), руб./долл.","Плотность железнодорожных путей на конец года, км. путей на 10000 км2 территории",Плотность автомобильных дорог общего пользования с твердым покрытием на конец года; км. путей на 1000 км2 территории,Число активных абонентов фиксированного и мобильного широкополосного доступа к сети интернет на 100 человек населения,Число активных абонентов фиксированного широкополосного доступа к сети Интернет,"Число активных абонентов подвижной радиотелефонной связи, использующих широкополосный доступ к сети Интернет","Расходы консолидированных бюджетов субъектов Российской Федерации на социально-культурные мероприятия, млн руб.","Расходы консолидированных бюджетов субъектов Российской Федерации на социально-культурные мероприятия на душу населения, млн. руб / чел.","Скорректированные по индексу потребительских цен консолидированные расходы бюджетов субъектов РФ на социально-культурные мероприятия на душу населения, тыс. руб. / чел.","Скорректированные по индексу потребительских цен относительно 2009 г. консолидированные расходы бюджетов субъектов РФ на социально-культурные мероприятия на душу населения, тыс. руб. / чел, отн.2009","Выпуск специалистов высшими учебными заведениями, тыс. чел.",Доля занятых в возрасте 20-29 лет в общем числе занятых,Доля занятых в возрасте 30-39 лет в общем числе занятых,Доля занятых в возрасте 20-39 лет в общем числе занятых,Доля занятых с высшим образованием,"Доля выпускников ВУЗ-ов субъекта от выпускников по РФ, %",Среднегодовая численность занятых; тыс. чел.,Численность работников органов исполнительной власти субъектов РФ и органов местного самоуправления; чел.,Численность работников органов местного самоуправления (на конец года); чел.,Численности работников территориальных органов федеральных органов исполнительной власти,"Расходы на общегосударственные вопросы, млн. руб.","Среднемесячная номинальная начисленная заработная плата работников организаций, руб.","Стоимость фиксированного набора потребительских товаров и услуг, руб.","Численность рабочей силы в возрасте 15-72 лет, тыс. чел.","Расходы региональных бюджетов общие, млн.руб.",Расходы региональных бюджетов по статье национальная экономика,"Задолженность физ. лиц по кредитам в номинальном выражении, млн. руб.","Задолженность физ. лиц по жилищным кредитам в номинальном выражении, млн. руб.","Задолженность физ. лиц по потребительским кредитам в номинальном выражении, млн. руб.",Задолженность по потребительским кредитам на одного занятого,Эффективная среднемесячная производительность труда,Номинальная среднемесячная производительность труда в руб./(мес. чел.),"Затраты на информационные и коммуникационные технологии (ИКТ), млн. руб","Инвестиции в основной капитал, млн. руб.","Затраты на технологические инновации, млн. руб."
0,Центральный федеральный округ,Белгородская область,2007,3.0,27100.0,55.873,9399.1,70.4,0.57476,1520.1,15.4,61.3,76.7,237013.3,113.2,41516.5,25783.9,112.7,111.2,0.0,1465.9,858.7,3236.8,807.7,2324.6,4044.5,25.582,258.0,244.0,0.0,0.0,0.0,21162.2,13.603,185.2,0.0,11.9,23.3,23.9,47.2,21.6,0.9,700.706,18787.0,7156.0,7068.0,3642.2,10479.5,5234.3,735.0,42366.5,11486.0,13890.9,1995.3,11895.6,17437.0,5.531,28952.0,1388.8,83510.0,799.1
1,Центральный федеральный округ,Белгородская область,2008,3.0,27100.0,56.092,12748.9,70.5,0.74691,1526.3,15.3,61.1,76.4,317656.3,112.3,56852.7,0.0,0.0,110.4,0.0,2502.7,1267.4,4105.6,942.0,3770.1,5047.6,24.8563,258.0,248.0,0.0,0.0,0.0,28374.6,16.077,221.4,0.0,13.2,23.5,24.3,47.8,23.6,1.0,731.556,19434.0,0.0,7191.0,3571.2,13508.5,5954.3,759.0,59063.8,17493.3,21550.6,4275.3,17275.3,25183.0,6.481,38588.0,1943.4,104218.0,1213.6
2,Центральный федеральный округ,Белгородская область,2009,3.0,27100.0,56.319,14146.7,71.1,0.8244,1531.8,15.2,61.0,76.2,304343.0,101.5,55738.2,0.0,0.0,109.7,1.0,1245.5,516.4,1548.3,588.9,1761.9,2137.2,31.8284,258.0,248.0,0.0,0.0,0.0,29711.0,18.53,257.8,18.53,14.7,23.8,23.9,47.7,25.3,1.0,754.027,19353.0,0.0,7309.0,3368.9,14061.0,6556.2,793.0,60848.2,17434.6,29495.5,7658.5,21837.0,31662.0,5.609,36773.0,2620.1,73127.0,1197.8
3,Центральный федеральный округ,Белгородская область,2010,3.0,27100.0,56.531,16993.0,71.3,0.64369,1532.4,15.1,60.8,75.9,398361.4,109.8,63512.8,65105.7,112.2,109.0,1.09,1914.3,789.9,3499.4,701.7,2704.2,4201.1,30.364,258.0,247.0,0.0,0.0,0.0,32125.3,20.97,294.7,19.239,14.6,23.5,24.4,47.9,26.4,1.0,738.738,19455.0,7933.0,7255.0,3651.1,15938.0,7286.7,779.0,65105.7,20792.5,25869.0,6880.0,18989.0,27381.0,6.569,47868.0,3276.2,96313.0,3072.3
4,Центральный федеральный округ,Белгородская область,2011,3.0,27100.0,56.546,18800.0,71.71,0.57698,1536.1,15.2,60.3,75.5,507839.8,111.0,81394.9,83780.3,102.4,105.5,1.14995,2889.2,950.8,5384.0,1271.4,3840.0,6655.4,29.3929,258.0,251.0,42.3,8.9,33.4,40603.6,26.497,384.9,23.042,15.8,23.9,25.5,49.4,28.6,1.1,733.56,19213.0,0.0,6929.0,3971.4,17668.0,7878.8,767.0,83780.3,28183.1,29735.0,7707.0,22028.0,31554.0,7.694,60622.0,3053.9,125994.0,2136.6
5,Центральный федеральный округ,Белгородская область,2012,3.0,27100.0,56.863,21659.0,71.91,0.65684,1541.0,15.4,59.6,75.0,545517.2,105.5,78056.2,82653.3,110.8,106.2,1.22125,2537.5,1095.0,4368.0,873.1,3427.4,5218.0,31.0734,258.0,600.0,46.0,9.8,36.2,43741.5,28.385,411.9,23.243,15.9,22.5,26.2,48.7,28.4,1.1,757.223,19048.0,8161.0,6558.0,4438.2,20002.0,8494.5,787.0,82653.3,27565.8,45220.0,9899.0,35321.0,50451.0,7.644,64933.0,3054.9,136202.0,1629.0
6,Центральный федеральный округ,Белгородская область,2013,3.0,27100.0,56.978,23735.0,72.16,0.82099,1544.1,15.7,58.8,74.5,569006.4,103.0,77347.2,87248.5,102.5,106.2,1.29697,2354.4,1060.3,3383.7,776.8,3413.6,4157.9,31.8496,258.0,639.0,52.2,11.3,40.9,43983.3,28.485,414.2,21.963,14.9,22.7,25.4,48.1,29.5,1.2,777.536,18861.0,8150.0,6356.0,4513.1,22221.0,9514.0,810.0,87248.5,32877.8,66824.0,13640.0,53184.0,75955.0,7.118,67720.0,1908.4,129405.0,1107.4
7,Центральный федеральный округ,Белгородская область,2014,3.0,27100.0,57.118,25372.0,72.25,0.97179,1547.9,16.0,57.9,73.9,619677.7,102.8,77580.6,79199.5,99.7,110.5,1.43315,2349.7,826.4,2164.3,1104.0,3176.1,3268.3,38.4667,258.0,675.0,61.2,13.0,48.2,44934.3,29.029,406.6,20.255,12.8,23.1,25.1,48.2,29.9,1.0,781.648,23602.0,7830.0,11574.0,4447.1,23895.0,10756.0,814.0,79199.5,23558.2,88813.0,17902.0,70911.0,101432.0,6.867,73866.0,2178.2,120658.0,4108.8
8,Центральный федеральный округ,Белгородская область,2015,3.0,27100.0,57.199,28331.0,72.61,1.33107,1550.1,16.4,57.0,73.4,693379.4,103.0,81081.9,83670.0,97.9,111.4,1.59653,1881.9,544.17919,1047.05847,775.6,2426.07919,1822.65847,61.2946,258.0,704.0,66.0,17.6,48.4,48214.2,31.104,432.8,19.482,14.8,20.9,26.7,47.6,30.4,1.1,773.576,23096.0,7675.0,11277.0,4527.6,25456.0,11871.8,806.0,83670.0,24972.9,99029.0,22745.0,76284.0,101172.0,6.455,76633.0,2514.5,147214.0,2392.9
9,Центральный федеральный округ,Белгородская область,2016,3.0,27100.0,57.303,29579.0,72.87,1.55988,1552.9,16.6,56.2,72.8,729083.8,103.4,82121.6,85180.6,99.1,104.4,1.66678,1606.5,579.2,891.1,510.1,2185.7,1401.2,67.1899,258.0,729.0,68.6,18.6,50.0,49900.7,32.134,478.0,19.279,12.8,21.9,26.4,48.3,31.6,1.1,789.189,22413.0,7240.0,11076.0,4345.5,27091.0,12526.8,822.0,85180.6,25064.9,91052.0,25359.0,65693.0,86804.0,6.422,80444.0,3361.0,143792.0,20339.0
